,region,genre,number_of_movies,avg_rating
467,AZ,War,35,7.411428571428571
468,SK,Thriller,982,6.407026476578413
469,ME,Comedy,44,6.122727272727272
470,XSA,Drama,53,6.592452830188681
471,PY,Animation,13,6.392307692307692
472,DZ,Family,23,6.478260869565218
473,SY,Thriller,6,5.6000000000000005
474,AR,Drama,16724,6.487682372638125
475,DE,War,1567,6.438225909380985
476,TR,Western,881,6.047673098751419
477,TW,Mystery,1906,6.067943336831061
478,KZ,Crime,301,6.868770764119601
479,RU,Sport,854,6.3831381733021075
480,AE,Biography,448,6.978571428571429
481,BF,Romance,10,7.24
482,MM,Drama,28,7.485714285714287
483,NO,News,20,7.615
484,FI,News,58,7.003448275862069
485,NP,Thriller,23,7.07391304347826
486,GB,Fantasy,5285,5.712261116367077
487,TR,History,1104,6.541847826086956
488,RU,Musical,655,6.139999999999999
489,SK,Sci-Fi,502,6.214541832669322
490,PH,Crime,2558,6.105942142298671
491,XWG,Action,3911,5.6522884172845815
492,BF,Action,6,6.050000000000001
493,KZ,Mystery,152,6.429605263157895
494,AM,Drama,129,6.3426356589147295
495,QA,Drama,18,6.727777777777778
496,BF,Adventure,11,6.3
497,XWW,Thriller,5734,5.842657830484827
498,GB,War,3244,6.349660912453761
499,AU,Thriller,8639,5.530871628660725
500,PL,Comedy,15971,6.088641913468158
501,IE,Western,255,6.145490196078431
502,GE,Documentary,48,7.708333333333333
503,UY,Thriller,742,6.456603773584908
504,CSHH,Horror,205,6.064878048780487
505,PL,Adult,17,5.658823529411765
506,UA,Romance,2451,6.391432068543449
507,CA,Family,4463,6.018149226977368
508,BG,Adventure,2919,6.203460089071598
509,MX,Musical,1126,6.23570159857904
510,CH,Adventure,418,6.373205741626794
511,IE,Adventure,1112,6.3443345323741
512,DDDE,Fantasy,223,6.6255605381165905
513,CU,Film-Noir,9,6.300000000000001
514,PK,Western,9,5.988888888888889
515,CM,History,7,7.014285714285714
516,PY,Horror,10,5.74
517,YUCS,Horror,9,5.71111111111111
518,ES,Romance,10045,6.244141363862622
519,PL,Crime,7204,6.188492504164357
520,HK,Horror,2249,5.409515340151176
521,BR,Animation,1964,6.43172097759674
522,IT,War,1954,6.433265097236438
523,CH,Musical,51,6.270588235294118
524,CN,Animation,1243,6.533145615446498
525,DE,Adult,200,5.450000000000001
526,EE,Documentary,309,7.120064724919094
527,CH,Fantasy,131,6.266412213740457
528,MY,Mystery,208,5.933653846153846
529,XSA,Adventure,35,6.154285714285714
530,GB,Adventure,11186,5.829769354550335
531,PT,Adventure,5073,5.998580721466587
532,BE,Mystery,845,6.437751479289941
533,IE,Documentary,884,7.400791855203619
534,NL,Film-Noir,233,6.9493562231759665
535,PH,Sci-Fi,1069,5.483348924228249
536,EE,Music,137,6.778102189781021
537,ID,Mystery,884,5.916742081447966
538,GE,Horror,30,5.83
539,SN,Animation,17,6.352941176470588
540,MK,War,11,7.545454545454544
541,ES,Western,2213,5.931676457297787
542,EC,Comedy,6222,6.088862102217937
543,IT,Family,2430,5.975843621399175
544,BE,Crime,2352,6.354761904761906
545,AU,Documentary,5939,7.137598922377503
546,UA,Documentary,883,7.385277463193657
547,VE,Western,173,6.253179190751446
548,CL,Thriller,719,6.1340751043115445
549,SK,Music,138,6.868115942028984
550,PA,Thriller,71,6.68169014084507
551,LT,History,395,7.00253164556962
552,DZ,War,26,6.796153846153847
553,RU,Adult,32,5.156250000000001
554,AM,Thriller,11,5.509090909090909
555,BF,Animation,10,6.790000000000001
556,JP,Crime,10390,6.2073917228103985
557,TH,Sport,77,6.787012987012988
558,PR,Comedy,111,6.692792792792792
559,ZA,Documentary,854,6.9581967213114755
560,NP,Adventure,15,6.866666666666666
561,LT,Unknown,7,6.085714285714286
562,CA,News,100,7.388000000000001
563,GB,Thriller,16831,5.440140217455886
564,RS,Animation,641,6.564118564742589
565,ES,Musical,1601,6.131292941911305
566,JM,Western,63,5.906349206349207
567,ES,Film-Noir,633,6.793680884676143
568,JM,Drama,118,6.454237288135594
569,BE,Documentary,738,7.153252032520324
570,KR,History,391,6.7199488491048625
571,CR,Animation,39,6.317948717948718
572,VN,Sci-Fi,637,6.033124018838305
573,MK,Drama,231,6.895238095238095
574,XKO,War,6,6.016666666666666
575,CG,Adventure,16,6.325
576,AM,History,9,5.888888888888889
577,SY,Documentary,21,7.057142857142857
578,BG,Biography,1075,6.910418604651163
579,RU,Adventure,5357,5.866380436811646
580,XWG,Romance,3520,6.2141477272727315
581,RO,Comedy,6224,6.2481844473007735
582,HR,Thriller,1275,6.367529411764706
583,MX,Animation,1320,6.495378787878788
584,IR,Adventure,582,6.306013745704467
585,PR,Thriller,26,5.976923076923077
586,DZ,Romance,31,6.4645161290322575
587,NG,Mystery,12,5.925
588,IT,Crime,8872,6.098884129846712
589,US,Sci-Fi,8395,5.273567599761764
590,UY,Horror,545,5.97559633027523
591,IL,Music,319,6.705015673981191
592,AZ,Drama,594,7.151010101010101
593,HK,Music,274,6.901459854014599
594,XKO,Action,28,6.160714285714285
595,LU,History,26,7.015384615384615
596,TN,Action,19,6.173684210526316
597,AU,Drama,28733,6.233195280687704
598,US,Mystery,11924,5.785826903723585
599,ES,Mystery,4780,5.925460251046026
600,BR,Music,2007,6.432286995515696
601,HU,Sport,688,6.292877906976745
602,CH,Music,86,6.680232558139535
603,BY,Drama,189,6.620105820105819
604,PA,Fantasy,48,6.702083333333333
605,UA,Sci-Fi,1035,5.97623188405797
606,IS,War,8,7.012499999999999
607,PA,Musical,11,6.70909090909091
608,MA,Comedy,77,6.6558441558441555
609,IS,Music,28,7.353571428571429
610,MK,Sci-Fi,19,6.5210526315789465
611,SA,Animation,17,6.094117647058823
612,LU,Romance,39,6.494871794871795
613,NL,Biography,919,6.936670293797607
614,JP,Action,13733,5.92673851307071
615,XWG,Drama,13695,6.29732018985031
616,NO,Comedy,5857,6.182175175004269
617,US,Music,6128,6.715013054830288
618,XYU,Mystery,400,6.656499999999999
619,SG,Adventure,1915,6.171331592689296
620,HK,Film-Noir,12,7.633333333333334
621,AE,Adventure,940,6.242765957446809
622,DO,Thriller,39,6.107692307692307
623,BJ,Animation,22,6.5227272727272725
